"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","test_post_advisor_without_first_name","tests.advisor","Mon Jan 06 12:35:34 GMT 2025","broken","Mon Jan 06 12:35:34 GMT 2025","","Crate advisor Account","",""
"","5","test_patch_advisor_with_empty_cellphone","tests.advisor","Mon Jan 06 12:35:33 GMT 2025","broken","Mon Jan 06 12:35:33 GMT 2025","","Update advisor","",""
"","5","test_get_advisor_by_non_numeric_id","tests.advisor","Mon Jan 06 12:35:30 GMT 2025","broken","Mon Jan 06 12:35:30 GMT 2025","","Get advisor By ID","",""
"","5","test_change_password_with_empty_old_password","tests.authentication","Mon Jan 06 12:35:36 GMT 2025","broken","Mon Jan 06 12:35:36 GMT 2025","","Change Password","",""
"","7","test_list_advisors_missing_auth_header","tests.advisor","Mon Jan 06 12:35:32 GMT 2025","broken","Mon Jan 06 12:35:32 GMT 2025","","List Advisors","",""
"","12","test_post_advisor_invalid_ci_format","tests.advisor","Mon Jan 06 12:35:35 GMT 2025","broken","Mon Jan 06 12:35:35 GMT 2025","","Crate advisor Account","",""
"","4","test_get_login_mismatched_passwords","tests.authentication","Mon Jan 06 12:35:39 GMT 2025","broken","Mon Jan 06 12:35:39 GMT 2025","","Log in","",""
"","4","test_find_advisor_by_email_uppercase","tests.advisor","Mon Jan 06 12:35:30 GMT 2025","broken","Mon Jan 06 12:35:30 GMT 2025","","Find advisor By Email","",""
"","5","test_enable_user_with_valid_email_and_enable_true","tests.authentication","Mon Jan 06 12:35:37 GMT 2025","broken","Mon Jan 06 12:35:37 GMT 2025","","Enable User","",""
"","5","test_post_advisor_duplicate_email","tests.advisor","Mon Jan 06 12:35:35 GMT 2025","broken","Mon Jan 06 12:35:35 GMT 2025","","Crate advisor Account","",""
"","5","test_post_advisor_invalid_email_format","tests.advisor","Mon Jan 06 12:35:34 GMT 2025","broken","Mon Jan 06 12:35:34 GMT 2025","","Crate advisor Account","",""
"","5","test_reset_password_with_valid_email_and_password","tests.authentication","Mon Jan 06 12:35:39 GMT 2025","broken","Mon Jan 06 12:35:39 GMT 2025","","Reset Password","",""
"","5","test_get_login_empty_password","tests.authentication","Mon Jan 06 12:35:38 GMT 2025","broken","Mon Jan 06 12:35:38 GMT 2025","","Log in","",""
"","5","test_get_login_empty_fields","tests.authentication","Mon Jan 06 12:35:38 GMT 2025","broken","Mon Jan 06 12:35:38 GMT 2025","","Log in","",""
"","5","test_get_advisor_by_non_existent_id","tests.advisor","Mon Jan 06 12:35:30 GMT 2025","skipped","Mon Jan 06 12:35:30 GMT 2025","","Get advisor By ID","",""
"","5","test_post_advisor_with_minimum_fields","tests.advisor","Mon Jan 06 12:35:35 GMT 2025","skipped","Mon Jan 06 12:35:35 GMT 2025","","Crate advisor Account","",""
"","5","test_patch_advisor_with_only_email","tests.advisor","Mon Jan 06 12:35:33 GMT 2025","broken","Mon Jan 06 12:35:33 GMT 2025","","Update advisor","",""
"","5","test_patch_advisor_with_empty_address","tests.advisor","Mon Jan 06 12:35:33 GMT 2025","broken","Mon Jan 06 12:35:33 GMT 2025","","Update advisor","",""
"","6","test_change_password_with_invalid_token","tests.authentication","Mon Jan 06 12:35:36 GMT 2025","broken","Mon Jan 06 12:35:36 GMT 2025","","Change Password","",""
"","5","test_post_advisor_without_email","tests.advisor","Mon Jan 06 12:35:34 GMT 2025","skipped","Mon Jan 06 12:35:34 GMT 2025","","Crate advisor Account","",""
"","6","test_change_password_with_empty_confirm_password","tests.authentication","Mon Jan 06 12:35:36 GMT 2025","broken","Mon Jan 06 12:35:36 GMT 2025","","Change Password","",""
